,LINE,EXCLUDE,DEFINE,CLASS,FUNC,FORM,BW,GLOSS,VARIANT,FEAT,COND-T,COND-F,COND-S,NOTES,EXAMPLES,STATUS,NSTAT,Check,Notes
0,1,,CONDITIONS,[LEMMA],Frozen,,,,,,,,,,,,,,
1,2,,CONDITIONS,[STEM-X],#aA-Ap-w #aA-Ap-y #A' #A'@w #A'-w #A}iy #a> #aA #aY-Ap-y #iy #o'-con #o'-dis #u& #w' X100 FIVE-NOUNS,,,,,,,,,,,,,,
2,3,,CONDITIONS,[X-STEM],L#             ,,,,,,,,,,,,,,
3,4,,CONDITIONS,[SUFF-GN],MS MD FP MP FS FD FS100,,,,,,,,,,,,,,
4,4,,CONDITIONS,[SUFF-ORTH],MS-AF,,,,,,,,,,,,,,
5,5,,CONDITIONS,[SEMANTIC],@instance @collective @collective-plural @genderpolarity @ADV         ,,,,,,,,,,,,,,
6,6,,CONDITIONS,[CLASS],#dip UCase Mono,,,,,,,,,,,,,,
7,7,,CONDITIONS,[PROCLITIC],li/PREP bi/PREP            ,,,,,,,,,,,,,,
8,8,,CONDITIONS,[X-SUFF.PHONE.V],i-suff u-suff a-suff           ,,,,,,,,,,,,,,
9,9,,CONDITIONS,[X-SUFF.LETTER],A-suff w-suff y-suff           ,,,,,,,,,,,,,,
10,10,,CONDITIONS,[SUFF-X],#^A #^ay #^i #^iy          ,,,,,,,,,,,,,,
11,11,,CONDITIONS,[PRON:X],MA enc0 POSS_PRON POSS_PRON-iy          ,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
13,1,,MORPH,[QUES],_,_,_,_,MSA,prc3:0,_,,_,Clitics,,OK,GOOD,,
14,2,RED,MORPH,[QUES],>a/PART_INTERROG,>a,>a/INTERROG_PART,is/are,MSA,prc3:>a_ques,_,,_,Clitics,,OK,GOOD,,
15,,,,,,,,,,,,,,,,,,,
16,4,,MORPH,[CONJ],_,_,_,_,MSA,prc2:0,_,,_,Clitics,,OK,GOOD,,
17,5,RED,MORPH,[CONJ],fa/CONJ,fa,fa/CONJ,so/and,MSA,prc2:fa_conj,_,,_,Clitics,,OK,GOOD,,
18,6,RED,MORPH,[CONJ],fa/PART_CONNECT,fa,fa/CONNEC_PART,so/then,MSA,prc2:fa_conn,_,,_,Clitics,,OK,GOOD,,
19,7,RED,MORPH,[CONJ],fa/PART_RC,fa,fa/RC_PART,so/then,MSA,prc2:fa_rc,_,,_,Clitics,,OK,GOOD,,
20,8,RED,MORPH,[CONJ],fa/CONJ_SUB,fa,fa/SUB_CONJ,because/therefore/as_a_result,MSA,prc2:fa_sub,_,,_,Clitics,,OK,GOOD,,
21,9,RED,MORPH,[CONJ],wa/CONJ,wa,wa/CONJ,and,MSA,prc2:wa_conj,_,,_,Clitics,,OK,GOOD,,
22,10,RED,MORPH,[CONJ],wa/PART,wa,wa/PART,[part.],MSA,prc2:wa_part,_,,_,Clitics,,OK,GOOD,,
23,11,RED,MORPH,[CONJ],wa/SUB_CONJ,wa,wa/SUB_CONJ,while,MSA,prc2:wa_sub,_,,_,Clitics,,OK,GOOD,,
24,,,,,,,,,,,,,,,,,,,
25,13,,MORPH,[PREP],_,_,_,_,MSA,prc1:0,_,,_,Clitics,,OK,GOOD,,
26,14,RED,MORPH,[PREP],bi/PREP,bi,bi/PREP,with/by,MSA,prc1:bi_prep,_,,_,Clitics,,OK,GOOD,,
27,15,RED,MORPH,[PREP],ka/PREP,ka,ka/PREP,like/such_as,MSA,prc1:ka_prep,_,,_,Clitics,,OK,GOOD,,
28,16,RED,MORPH,[PREP],li/PREP,li,li/PREP,for/to,MSA,prc1:li_prep,_,,li/PREP,Clitics,,OK,GOOD,,
29,17,RED,MORPH,[PREP],wa/PREP,wa,wa/PREP,with/by,MSA,prc1:wa_prep,_,,_,Clitics,,OK,GOOD,,
30,18,RED,MORPH,[PREP],bi/PART,bi,bi/PART,[part.],MSA,prc1:bi_part,_,,_,Clitics,,OK,GOOD,,
31,,,,,,,,,,,,,,,,,,,
32,20,RED,MORPH,[EMPH],_,_,_,_,MSA,prc1:0,_,,_,Clitics,,OK,GOOD,,
33,21,RED,MORPH,[EMPH],la/PART_EMPHATIC,la,la/EMPHATIC_PART,indeed/truly,MSA,prc1:la_emph,_,,_,Clitics,,OK,GOOD,,
34,,,,,,,,,,,,,,,,,,,
35,23,,MORPH,[ART],_,_,_,_,MSA,prc0:0,_,,_,Clitics,"بيت، لغة , لِلُغة",OK,GOOD,,
36,24,,MORPH,[ART],Al/PART_DET,Al@,Al/DET,the,MSA,prc0:Al_det,!li/PREP,,_,Clitics,البيت، اللغة,OK,GOOD,,
37,27,,MORPH,[ART],Al/PART_DET,l@,Al/DET,the,MSA,prc0:Al_det,li/PREP !L#,,_,Clitics,للبيت،,OK,GOOD,,
38,26,,MORPH,[ART],Al/PART_DET,@,Al/DET,the,MSA,prc0:Al_det,li/PREP L#,,_,Clitics,لِلُّغة,OK,GOOD,,
39,,,#Buffers,,,,,,,,,,,,,,,,
40,101,,MORPH,[NBuff],Buffer,_,_,,MSA,,else,,,Buffer Base,,OK,GOOD,,
41,102,,MORPH,[NBuff],Buffer,aY,aY/STEM,,MSA,,#aY-Ap-y MS !enc0,,,Buffer #aY-Ap-y,فتى,OK,GOOD,,
42,103,,MORPH,[NBuff],Buffer,A,A/STEM,,MSA,,#aY-Ap-y MS enc0,,,Buffer #aY-Ap-y,فتاه، فتاي,OK,GOOD,,
43,104,,MORPH,[NBuff],Buffer,ay,ay/STEM,,MSA,,#aY-Ap-y MD||FP,,,Buffer #aY-Ap-y,فتيان، فتيات,OK,GOOD,,
44,105,,MORPH,[NBuff],Buffer,A,A/STEM,,MSA,,#aY-Ap-y FS||FD,,,Buffer #aY-Ap-y,فتاة، فتاتان,OK,GOOD,,
45,106,,MORPH,[NBuff],Buffer,_,_,,MSA,,#aY-Ap-y MP,,,Buffer #aY-Ap-y,مصطفون,OK,GOOD,,
46,107,,MORPH,[NBuff],Buffer,A,A/STEM,,MSA,,#aA-Ap-y MS,,,Buffer #aA-Ap-y,دنيا,OK,GOOD,,
47,108,,MORPH,[NBuff],Buffer,ay,ay/STEM,,MSA,,#aA-Ap-y MD||FP,,,Buffer #aA-Ap-y,دنييان,OK,GOOD,,
48,109,,MORPH,[NBuff],Buffer,A,A/STEM,,MSA,,#aA-Ap-y FS||FD,,,Buffer #aA-Ap-y,؟؟,OK,GOOD,,
49,110,,MORPH,[NBuff],Buffer,_,_,,MSA,,#aA-Ap-y MP,,,Buffer #aA-Ap-y,؟؟,OK,GOOD,,
50,107,,MORPH,[NBuff],Buffer,A,A/STEM,,MSA,,#aA-Ap-w MS,,,Buffer #aA-Ap-w,عصا,OK,GOOD,,
51,108,,MORPH,[NBuff],Buffer,aw,aw/STEM,,MSA,,#aA-Ap-w MD||FP,,,Buffer #aA-Ap-w,عصوان عصوات أدوات,OK,GOOD,,
52,109,,MORPH,[NBuff],Buffer,A,A/STEM,,MSA,,#aA-Ap-w FS||FD,,,Buffer #aA-Ap-w,اداة أداتان ,OK,GOOD,,
