,LINE,PATTERN_ABSTRACT,ROOT,ROOT_CLASS,PATTERN_LEMMA,PATTERN,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-S,COMMENTS,STATUS
0,1,{isota1o2a3,*.>.b,c+n.}.c-n,{isota1o>a3,sota1o2i3,LEXICON,[STEM-IV],{isota*o>ab,sota*o}ib,IV,be_wolflike;be_lupine,pos:verb asp:i vox:a,,a-# intrans,,
1,2,1a2o3a4,*.b.*.b,c+n.c+n.c+n.c-n,1a2o3a4,1a2o3i4,LEXICON,[STEM-IV],*abo*ab,*abo*ib,IV,swing;dangle,pos:verb asp:i vox:a,,u-# trans,,
2,3,ta1a2o3a4,*.b.*.b,c+n.c+n.c+n.c-n,ta1a2o3a4,ta1a2o3a4,LEXICON,[STEM-IV],ta*abo*ab,ta*abo*ab,IV,oscillate;fluctuate;waver,pos:verb asp:i vox:a,,a-# trans,,
3,4,1a2a3,*.b.b,c+n.c-n.2,1a2~-u,1u2~,LEXICON,[STEM-IV],*ab~-u,*ub~,IV,drive_away;defend,pos:verb asp:i vox:a,v-suff,a-# gem trans,,
4,5,1a2a3,*.b.b,c+n.c-n.2,1a2~-u,1o2u3,LEXICON,[STEM-IV],*ab~-u,*obub,IV,drive_away;defend,pos:verb asp:i vox:a,c-suff,a-# gem trans,,
5,6,1a2~a3,*.b.H,c+n.c+n.c-n,1a2~a3,1a2~i3,LEXICON,[STEM-IV],*ab~aH,*ab~iH,IV,slaughter;massacre;sacrifice,pos:verb asp:i vox:a,,u-# trans,,
6,7,1a2a3,*.b.H,c+n.c+n.c-n,1a2a3-a,1o2a3,LEXICON,[STEM-IV],*abaH-a,*obaH,IV,slaughter;massacre;sacrifice,pos:verb asp:i vox:a,,a-# trans,,
7,8,1a2a3,*.b.l,c+n.c+n.c-n,1a2a3-u,1o2u3,LEXICON,[STEM-IV],*abal-u,*obul,IV,wilt;fade;waste_away,pos:verb asp:i vox:a,,a-# trans,,
8,9,1a2a3,*.b.l,c+n.c+n.c-n,1a2u3-u,1o2u3,LEXICON,[STEM-IV],*abul-u,*obul,IV,wilt;fade;waste_away,pos:verb asp:i vox:a,,a-# trans,,
9,10,1a2a3,*.E.n,c+n.c+n.n,1a2i3-a,1o2a3,LEXICON,[STEM-IV],*aEin-a,*oEan,IV,submit;yield;obey,pos:verb asp:i vox:a,,a-# #n trans,,
10,11,>a1o2a3,*.E.n,c+n.c+n.n,>a1o2a3,1o2i3,LEXICON,[STEM-IV],>a*oEan,*oEin,IV,submit;yield;obey,pos:verb asp:i vox:a,,u-# #n trans,,
11,12,1a2a3,*.E.q,c+n.c+n.c-n,1a2a3-a,1o2a3,LEXICON,[STEM-IV],*aEaq-a,*oEaq,IV,frighten;startle,pos:verb asp:i vox:a,,a-# trans,,
12,13,{ino1a2a3,*.E.r,c+n.c+n.c-n,{ino1a2a3,no1a2i3,LEXICON,[STEM-IV],{ino*aEar,no*aEir,IV,panic,pos:verb asp:i vox:a,,a-# trans,,
13,14,1a2a3,*.E.r,c+n.c+n.c-n,1a2a3-a,1o2a3,LEXICON,[STEM-IV],*aEar-a,*oEar,IV,frighten,pos:verb asp:i vox:a,,a-# trans,,
14,15,1a2a3,*.E.r,c+n.c+n.c-n,1a2i3-a,1o2a3,LEXICON,[STEM-IV],*aEir-a,*oEar,IV,be_frightened,pos:verb asp:i vox:a,,a-# intrans,,
15,16,>a1o2a3,*.E.r,c+n.c+n.c-n,>a1o2a3,1o2i3,LEXICON,[STEM-IV],>a*oEar,*oEir,IV,frighten,pos:verb asp:i vox:a,,u-# trans,,
