,LINE,ROOT,PATTERN,INTERDIGIT,STATUS_PATTERN,COUNT_PATTERN,PATTERN_ABSTRACT,COUNT_PATTERN_ABSTRACT,STATUS_PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,GLOSS,COND-T,COND-S,#GLOSS_OLD,FEAT,POS,GEN,NUM,RAT,CAS,STATUS,COMMENTS,NOTES
0,1,v.n.y,{i1o2,{ivon,DONE,1,1i2o3,20,DONE,LEXICON,[STEM-NOM],{ivon,{ivon,two;two_(in_12),MD||FD,,two;two_(in_12),pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
1,2,w.H.d,#i2o3,#iHod,DONE,1,1i2o3,20,DONE,LEXICON,[STEM-NOM],>aHad,<iHod,one;one_(in_11);someone,MS,#aY-Ap-y #dip,one_(in_11),pos:noun_num gen:f num:- rat:n cas:u,noun_num,f,-,n,u,DONE,,
2,3,w.H.d,@a2a3,@aHad,DONE,1,1a2a3,19,DONE,LEXICON,[STEM-NOM],>aHad,>aHad,one;one_(in_11);someone,MS,,one_(in_11),pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
3,4,>.l.f,@a2o3,@alof,DONE,1,1a2o3,18,DONE,LEXICON,[STEM-NOM],>alof,>alof,thousand,MS||MD,,thousand,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,
4,5,>.l.f,|2aA3,|laAf,DONE,1,1A2A3,19,DONE,LEXICON,[STEM-NOM],>alof,|laAf,thousand,MS,,thousands,pos:noun_num gen:m num:p rat:n cas:u,noun_num,m,p,n,u,DONE,,
5,6,r.b.E,@a1o2a3,@arobaE,DONE,2,>a1o2a3,5,DONE,LEXICON,[STEM-NOM],>arobaE,>arobaE,four,MS||FS,,four,pos:noun_num gen:- num:- rat:n cas:u,noun_num,-,-,n,u,DONE,,@genderpolarity
6,7,r.b.E,@a1o2a3ami},@arobaEami},DONE,1,>a1o2a3,5,DONE,LEXICON,[STEM-ACCUSATIVE],>arobaEami}ap,>arobaEami},four-hundred,FS,X100,four-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,DONE,,
7,8,r.b.E,@a1o2a3amiA},@arobaEamiA},DONE,1,>a1o2a3,5,DONE,LEXICON,[STEM-ACCUSATIVE],>arobaEamiA}ap,>arobaEamiA},four-hundred,FS,X100,four-hundred,pos:noun_num gen:- num:- rat:n cas:a,noun_num,-,-,n,a,DONE,,
8,9,r.b.E,@a1o2a3imi},@arobaEimi},DONE,1,>a1o2a3,5,DONE,LEXICON,[STEM-GENITIVE],>arobaEimi}ap,>arobaEimi},four-hundred,FS,X100,four-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,DONE,,
9,10,r.b.E,@a1o2a3imiA},@arobaEimiA},DONE,1,>a1o2a3,5,DONE,LEXICON,[STEM-GENITIVE],>arobaEimiA}ap,>arobaEimiA},four-hundred,FS,X100,four-hundred,pos:noun_num gen:- num:- rat:n cas:g,noun_num,-,-,n,g,DONE,,
10,11,r.b.E,@a1o2a3umi},@arobaEumi},DONE,1,>a1o2a3,5,DONE,LEXICON,[STEM-NOMINATIVE],>arobaEumi}ap,>arobaEumi},four-hundred,FS,X100,four-hundred,pos:noun_num gen:- num:- rat:n cas:n,noun_num,-,-,n,n,DONE,,
