,LINE,PATTERN_ABSTRACT,ROOT,ROOT_CLASS,PATTERN_LEMMA,PATTERN,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,#GLOSS_OLD,FEAT,COND-T,COND-S,COMMENTS,STATUS,scratch1,scratch2
0,1,{i1ota2a3,>.k.l,}.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i}otakal,{i}otakal,PV,corrode;erode,erode;corrode,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
1,2,{i1ota2a3,>.l.f,}.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i}otalaf,{i}otalaf,PV,be_accustomed;be_harmonious;form_a_coalition,be_accustomed;be_harmonious;form_a_coalition,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,intrans,,,,
2,3,{i1ota2a3,>.l.q,}.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i}otalaq,{i}otalaq,PV,radiate;shine,shine;radiate,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
3,4,{i1ota2a3,>.m.m,}.c+nt.2,{i1ota2~,{i1ota2~,LEXICON,[STEM-PV],{i}otam~,{i}otam~,PV,emulate;follow,emulate;follow,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem trans,,,,
4,5,{i1ota2a3,>.m.m,}.c+nt.2,{i1ota2~,{i1ota2a3,LEXICON,[STEM-PV],{i}otam~,{i}otamam,PV,emulate;follow,emulate;follow,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem trans,,,,
5,6,{i1ota2a3,>.m.n,}.c+nt.n,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i}otaman,{i}otaman,PV,entrust;trust,trust;entrust,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,#n trans,,,,
6,7,{i1ota2a3,>.m.r,}.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i}otamar,{i}otamar,PV,conspire;deliberate,deliberate;conspire,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
7,8,{i1ota2a3,>.z.r,}.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i}otazar,{i}otazar,PV,wear_a_shawl,wear_a_shawl,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
8,9,{i1o2a3a4~,$.m.>.z,c+nt.c+nt.>.c-nt,{i1o2a3a4~,{i1o2a3o4a4,LEXICON,[STEM-PV],{i$oma>az~,{i$oma>ozaz,PV,be_disgusted;be_nauseated,be_disgusted;be_nauseated,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem intrans,,,,
9,10,{i1o2a3a4~,$.m.>.z,c+nt.c+nt.>.c-nt,{i1o2a3a4~,{i1o2a3a4~,LEXICON,[STEM-PV],{i$oma>az~,{i$oma>az~,PV,be_disgusted;be_nauseated,be_disgusted;be_nauseated,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem intrans,,,,
10,11,{i1o2a3~,$.m.T,c+nt.c+nt.c-nt,{i1o2a3~,{i1o2a3a3,LEXICON,[STEM-PV],{i$omaT~,{i$omaTaT,PV,turn_gray,turn_gray,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem trans,,,,
11,12,{i1o2a3~,$.m.T,c+nt.c+nt.c-nt,{i1o2a3~,{i1o2a3~,LEXICON,[STEM-PV],{i$omaT~,{i$omaT~,PV,turn_gray,turn_gray,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem trans,,,,
12,13,{i1o2a3a4~,$.m.x.r,c+nt.c+nt.c+nt.c-nt,{i1o2a3a4~,{i1o2a3o4a4,LEXICON,[STEM-PV],{i$omaxar~,{i$omaxorar,PV,be_gigantic;be_proud,be_gigantic;be_proud,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem intrans,,,,
13,14,{i1o2a3a4~,$.m.x.r,c+nt.c+nt.c+nt.c-nt,{i1o2a3a4~,{i1o2a3a4~,LEXICON,[STEM-PV],{i$omaxar~,{i$omaxar~,PV,be_gigantic;be_proud,be_gigantic;be_proud,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem intrans,,,,
14,15,{i1o2a3~,$.q.r,c+nt.c+nt.c-nt,{i1o2a3~,{i1o2a3a3,LEXICON,[STEM-PV],{i$oqar~,{i$oqarar,PV,be_blond;be_of_fair_complexion,be_of_fair_complexion;be_blond,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem intrans,,,,
15,16,{i1o2a3~,$.q.r,c+nt.c+nt.c-nt,{i1o2a3~,{i1o2a3~,LEXICON,[STEM-PV],{i$oqar~,{i$oqar~,PV,be_blond;be_of_fair_complexion,be_of_fair_complexion;be_blond,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem intrans,,,,
16,17,{i1o2a3a4~,$.r.>.b,c+nt.c+nt.>.c-nt,{i1o2a3a4~,{i1o2a3o4a4,LEXICON,[STEM-PV],{i$ora>ab~,{i$ora>obab,PV,crane_the_neck;stretch_the_neck,crane_the_neck;stretch_the_neck,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,gem trans,,,,
17,18,{i1o2a3a4~,$.r.>.b,c+nt.c+nt.>.c-nt,{i1o2a3a4~,{i1o2a3a4~,LEXICON,[STEM-PV],{i$ora>ab~,{i$ora>ab~,PV,crane_the_neck;stretch_the_neck,crane_the_neck;stretch_the_neck,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,gem trans,,,,
18,19,{i1ota2a3,$.w.q,c+nt.w.c-nt,{i1otaA3,{i1ota3,LEXICON,[STEM-PV],{i$otaAq,{i$otaq,PV,desire;love,desire;love,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,c-suff,trans,,,,
19,20,{i1ota2a3,$.w.q,c+nt.w.c-nt,{i1otaA3,{i1otaA3,LEXICON,[STEM-PV],{i$otaAq,{i$otaAq,PV,desire;love,desire;love,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,v-suff,trans,,,,
20,21,{i1ota2a3,$.b.h,c+nt.c+nt.c-nt,{i1ota2a3,{i1ota2a3,LEXICON,[STEM-PV],{i$otabah,{i$otabah,PV,be_doubtful;suspect,suspect;be_doubtful,pos:verb per:3 asp:p vox:a mod:i gen:m num:s,,trans,,,,
