,PATTERN_ABS,PATTERN_DEF,ROOT,ROOT_SUB,DEFINE,CLASS,PATTERN,LEMMA,LEMMA_SUB,FORM,FORM_SUB,BW,BW_SUB,GLOSS,FEAT,COND-T,COND-F,COND-S,MATCH,COMMENTS,STATUS
0,>a12i3,|2i3,>.2.3,>.\1.\2,BACKOFF,[STEM-CV],|2i#3,lex:|2i3,lex:|\1i\2,|2i#3,|\1i#\2,|2i#3/CV,|\1i#\2/CV,na,pos:verb asp:c vox:a mod:i,,,trans,^A([^wyA}&])#([^wyA}&])$,4,
1,1a2a3,|3,>.w.3,>.w.\1,BACKOFF,[STEM-CV],<uw3,lex:|3,lex:|\1,<uw3,<uw\1,<uw3/CV,<uw\1/CV,na,pos:verb asp:c vox:a mod:i,,,trans,^Aw([^wyA}&])$,1,
2,>a12i3,|yi3,>.y.3,>.y.\1,BACKOFF,[STEM-CV],|yi#3,lex:|yi3,lex:|yi\1,|yi#3,|yi#\1,|yi#3/CV,|yi#\1/CV,na,pos:verb asp:c vox:a mod:i,,,trans,^Ay#([^wyA}&])$,1,
3,>a12a3,>a1A3,1.w.3,\1.w.\2,BACKOFF,[STEM-CV],1iy3,lex:>a1A3,lex:>a\1A\2,1iy3,\1iy\2,1iy3/CV,\1iy\2/CV,na,pos:verb asp:c vox:a mod:i,,,trans,^([^wyA}&])y([^wyA}&])$,17,
4,>a12a3,>a1A3,1.y.3,\1.y.\2,BACKOFF,[STEM-CV],1iy3,lex:>a1A3,lex:>a\1A\2,1iy3,\1iy\2,1iy3/CV,\1iy\2/CV,na,pos:verb asp:c vox:a mod:i,,,trans,^([^wyA}&])y([^wyA}&])$,9,
5,>a12a3,>a1o2a3,1.2.3,\1.\2.\3,BACKOFF,[STEM-CV],Ai1o2i3,lex:>a1o2a3,lex:>a\1o\2a\3,Ai1o2i3,Ai\1o\2i\3,Ai1o2i3/CV,Ai\1o\2i\3/CV,na,pos:verb asp:c vox:a mod:i,,,trans,^A([^wyA}&])([^wyA}&])([^wyA}&])$,100,
6,>a12a3,>a1o2aY,1.2.y,\1.\2.y,BACKOFF,[STEM-CV],Ai1o2,lex:>a1o2aY,lex:>a\1o\2aY,Ai1o2,Ai\1o\2,Ai1o2/CV,Ai\1o\2/CV,na,pos:verb asp:c vox:a mod:i,,,#-iy trans,^A([^wyA}&])([^wyA}&])$,21,
7,1a2~a3,>a2~a3,>.2.3,>.\1.\2,BACKOFF,[STEM-CV],>a2~a3,lex:>a2~a3,lex:>a\1~a\2,>a2~a3,>a\1~a\2,>a2~a3/CV,>a\1~a\2/CV,na,pos:verb asp:c vox:a mod:i,,,trans,^A([^wyA}&])([^wyA}&])$,8,
8,1a2~i3,>a2~i3,>.2.3,>.\1.\2,BACKOFF,[STEM-CV],>a2~i3,lex:>a2~i3,lex:>a\1~i\2,>a2~i3,>a\1~i\2,>a2~i3/CV,>a\1~i\2/CV,na,pos:verb asp:c vox:a mod:i,,,trans,^A([^wyA}&])([^wyA}&])$,19,
9,1a2a3,>a2aY,>.2.y,>.\1.y,BACKOFF,[STEM-CV],Ai}2,lex:>a2aY,lex:>a\1aY,Ai}2,Ai}\1,Ai}2/CV,Ai}\1/CV,na,pos:verb asp:c vox:a mod:i,,,#-iy trans,^A}([^wyA}&])$,2,
