,LINE,DEFINE,CLASS,FUNC,FORM,BW,GLOSS,VARIANT,FEAT,COND-T,COND-F,COND-S,NOTES,EXAMPLES,STATUS,NSTAT,Check,Notes
0,1,MORPH,[QUES],_,_,_,_,MSA,prc3:0,_,,_,Clitics,,OK,GOOD,,
1,2,MORPH,[QUES],>a/PART_INTERROG,>a,>a/INTERROG_PART,is/are,MSA,prc3:>a_ques,_,,_,Clitics,,OK,GOOD,,
2,3,,,,,,,,,,,,,,,,,
3,4,MORPH,[CONJ],_,_,_,_,MSA,prc2:0,_,,_,Clitics,,OK,GOOD,,
4,5,#MORPH,[CONJ],fa/CONJ,fa,fa/CONJ,so/and,MSA,prc2:fa_conj,_,,_,Clitics,,OK,GOOD,,
5,6,#MORPH,[CONJ],fa/PART_CONNECT,fa,fa/CONNEC_PART,so/then,MSA,prc2:fa_conn,_,,_,Clitics,,OK,GOOD,,
6,7,#MORPH,[CONJ],fa/PART_RC,fa,fa/RC_PART,so/then,MSA,prc2:fa_rc,_,,_,Clitics,,OK,GOOD,,
7,8,#MORPH,[CONJ],fa/CONJ_SUB,fa,fa/SUB_CONJ,because/therefore/as_a_result,MSA,prc2:fa_sub,_,,_,Clitics,,OK,GOOD,,
8,9,MORPH,[CONJ],wa/CONJ,wa,wa/CONJ,and,MSA,prc2:wa_conj,_,,_,Clitics,,OK,GOOD,,
9,10,#MORPH,[CONJ],wa/PART,wa,wa/PART,[part.],MSA,prc2:wa_part,_,,_,Clitics,,OK,GOOD,,
10,11,#MORPH,[CONJ],wa/SUB_CONJ,wa,wa/SUB_CONJ,while,MSA,prc2:wa_sub,_,,_,Clitics,,OK,GOOD,,
11,12,,,,,,,,,,,,,,,,,
12,13,MORPH,[PREP],_,_,_,_,MSA,prc1:0,_,,_,Clitics,,OK,GOOD,,
13,14,#MORPH,[PREP],bi/PREP,bi,bi/PREP,with/by,MSA,prc1:bi_prep,_,,_,Clitics,,OK,GOOD,,
14,15,#MORPH,[PREP],ka/PREP,ka,ka/PREP,like/such_as,MSA,prc1:ka_prep,_,,_,Clitics,,OK,GOOD,,
15,16,MORPH,[PREP],li/PREP,li,li/PREP,for/to,MSA,prc1:li_prep,_,,li/PREP,Clitics,,OK,GOOD,,
16,17,#MORPH,[PREP],wa/PREP,wa,wa/PREP,with/by,MSA,prc1:wa_prep,_,,_,Clitics,,OK,GOOD,,
17,18,#MORPH,[PREP],bi/PART,bi,bi/PART,[part.],MSA,prc1:bi_part,_,,_,Clitics,,OK,GOOD,,
18,19,,,,,,,,,,,,,,,,,
19,20,#MORPH,[EMPH],_,_,_,_,MSA,prc1:0,_,,_,Clitics,,OK,GOOD,,
20,21,#MORPH,[EMPH],la/PART_EMPHATIC,la,la/EMPHATIC_PART,indeed/truly,MSA,prc1:la_emph,_,,_,Clitics,,OK,GOOD,,
21,22,,,,,,,,,,,,,,,,,
22,23,MORPH,[ART],_,_,_,_,MSA,prc0:0,_,,_,Clitics,"بيت، لغة , لِلُغة",OK,GOOD,,
23,24,MORPH,[ART],Al/PART_DET,Al#,Al/DET,the,MSA,prc0:Al_det,!li/PREP,,_,Clitics,البيت، اللغة,OK,GOOD,,
24,27,MORPH,[ART],Al/PART_DET,l#,Al/DET,the,MSA,prc0:Al_det,li/PREP !L#,,_,Clitics,للبيت،,OK,GOOD,,
25,26,MORPH,[ART],Al/PART_DET,#,Al/DET,the,MSA,prc0:Al_det,li/PREP L#,,_,Clitics,لِلُّغة,OK,GOOD,,
26,27,,,,,,,,,,,,,,,,,
