,LINE,PATTERN_ABSTRACT,ROOT,ROOT_CLASS,PATTERN_LEMMA,PATTERN,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-S,COMMENTS,STATUS
0,1,{isota1o2a3,*.>.b,c+nt.>.c-nt,{isota1o2a3,{isota1o2a3,LEXICON,[STEM-PV],{isota*o>ab,{isota*o>ab,PV,be_wolflike;be_lupine,pos:verb asp:p vox:a mod:i,,intrans,,
1,2,1a2o3a4,*.b.*.b,c+nt.c+nt.c+nt.c-nt,1a2o3a4,1a2o3a4,LEXICON,[STEM-PV],*abo*ab,*abo*ab,PV,swing;dangle,pos:verb asp:p vox:a mod:i,,trans,,
2,3,ta1a2o3a4,*.b.*.b,c+nt.c+nt.c+nt.c-nt,ta1a2o3a4,ta1a2o3a4,LEXICON,[STEM-PV],ta*abo*ab,ta*abo*ab,PV,oscillate;fluctuate;waver,pos:verb asp:p vox:a mod:i,,trans,,
3,4,1a2a3,*.b.b,c+nt.c+nt.2,1a2~-u,1a2~,LEXICON,[STEM-PV],*ab~-u,*ab~,PV,drive_away;defend,pos:verb asp:p vox:a mod:i,v-suff,gem trans,,
4,5,1a2a3,*.b.b,c+nt.c+nt.2,1a2~-u,1a2a3,LEXICON,[STEM-PV],*ab~-u,*abab,PV,drive_away;defend,pos:verb asp:p vox:a mod:i,c-suff,gem trans,,
5,6,1a2~a3,*.b.H,c+nt.c+nt.c-nt,1a2~a3,1a2~a3,LEXICON,[STEM-PV],*ab~aH,*ab~aH,PV,slaughter;massacre;sacrifice,pos:verb asp:p vox:a mod:i,,trans,,
6,7,1a2a3,*.b.H,c+nt.c+nt.c-nt,1a2a3-a,1a2a3,LEXICON,[STEM-PV],*abaH-a,*abaH,PV,slaughter;massacre;sacrifice,pos:verb asp:p vox:a mod:i,,trans,,
7,8,1a2a3,*.b.l,c+nt.c+nt.c-nt,1a2a3-u,1a2a3,LEXICON,[STEM-PV],*abal-u,*abal,PV,wilt;fade;waste_away,pos:verb asp:p vox:a mod:i,,trans,,
8,9,1a2a3,*.b.l,c+nt.c+nt.c-nt,1a2u3-u,1a2u3,LEXICON,[STEM-PV],*abul-u,*abul,PV,wilt;fade;waste_away,pos:verb asp:p vox:a mod:i,,trans,,
9,10,1a2a3,*.E.n,c+nt.c+nt.n,1a2i3-a,1a2i3,LEXICON,[STEM-PV],*aEin-a,*aEin,PV,submit;yield;obey,pos:verb asp:p vox:a mod:i,,#n trans,,
10,11,>a1o2a3,*.E.n,c+nt.c+nt.n,>a1o2a3,>a1o2a3,LEXICON,[STEM-PV],>a*oEan,>a*oEan,PV,submit;yield;obey,pos:verb asp:p vox:a mod:i,,#n trans,,
11,12,1a2a3,*.E.q,c+nt.c+nt.c-nt,1a2a3-a,1a2a3,LEXICON,[STEM-PV],*aEaq-a,*aEaq,PV,frighten;startle,pos:verb asp:p vox:a mod:i,,trans,,
