SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
NOM.MP.D.P0.E0	EAlim		OK		
NOM.MP.C.E0	EAlim		PROB		
NOM.MP.D.P0	tafSiyl	Alt~afASiyl	PROB	wrong lemma	
NOM.MP.D.P0	tafSiyl	Alt~afASiylayon	PROB	wrong lemma	
NOM.MP.D.P0	tafSiyl	Alt~afASiylAt	PROB	wrong lemma	
NOM.MP.I	tafSiyl	tafASiyl	PROB	wrong lemma	
NOM.MP.I	tafSiyl	tafASiylayon	PROB	wrong lemma	
NOM.MP.I	tafSiyl	tafASiylAt	PROB	wrong lemma	
NOM.MP.C	tafSiyl	tafASiyl	PROB	wrong lemma	
NOM.MP.C	tafSiyl	tafASiylayon	PROB	wrong lemma	
NOM.MP.C	tafSiyl	tafASiylAt	PROB	wrong lemma	
NOM.MP.D.P0.E0	tafSiyl		OK		
NOM.MP.C.E0	tafSiyl		PROB		
NOM.MP.D.P0.E0	laHm		OK		
NOM.MP.C.E0	laHm		PROB		
NOM.MP.D.P0	nafs	Al>anfus	PROB	wrong cond	
NOM.MP.D.P0	nafs	Al>anfusayon	PROB	wrong cond	
NOM.MP.I	nafs	>anfus	PROB	wrong cond	
NOM.MP.I	nafs	>anfusayon	PROB	wrong cond	
NOM.MP.C	nafs	>anfus	PROB	wrong cond	
NOM.MP.C	nafs	>anfusayon	PROB	wrong cond	
NOM.MP.D.P0.E0	nafs		OK		
NOM.MP.C.E0	nafs		PROB		
NOM.FP.D.P0.E0	dawlap		OK		
NOM.FP.C.E0	dawlap		PROB		
NOM.FP.D.P0	sin~ap	Als~inAnap	PROB	WRONG COND	
NOM.FP.D.P0	sin~ap	Als~inAntayon	PROB	WRONG COND	
NOM.FP.D.P0	sin~ap	Als~inAnAt	PROB	WRONG COND	
NOM.FP.I	sin~ap	sinAnap	PROB	WRONG COND	
NOM.FP.I	sin~ap	sinAntayon	PROB	WRONG COND	
NOM.FP.I	sin~ap	sinAnAt	PROB	WRONG COND	
NOM.FP.C	sin~ap	sinAnip	PROB	WRONG COND	
NOM.FP.C	sin~ap	sinAntayon	PROB	WRONG COND	
NOM.FP.C	sin~ap	sinAnAt	PROB	WRONG COND	
NOM.FP.D.P0.E0	sin~ap		OK		
NOM.FP.C.E0	sin~ap		PROB		
NOM.FP.D.P0.E0	lajnap		OK		
NOM.FP.C.E0	lajnap		PROB		
NOM.MS.D.P0.E0	laDamAn		OK		
NOM.MS.C.E0	laDamAn		PROB		
NOM.MD.D.P0.E0	laDamAn		OK		
NOM.MD.C.E0	laDamAn		PROB		
NOM.MP.D.P0.E0	laDamAn		OK		
NOM.MP.C.E0	laDamAn		PROB		
NOM.FS.D.P0.E0	mAmA		OK		
NOM.FS.C.E0	mAmA		PROB		
NOM.FD.D.P0.E0	mAmA		OK		
NOM.FD.C.E0	mAmA		PROB		
NOM.MS.D.P0.E0	mAs		OK		
NOM.MS.C.E0	mAs		PROB		
NOM.MD.D.P0	>asmant	Al>asmantayon	OK		
NOM.MD.I	>asmant	>asmantayon	OK		
NOM.MD.C	>asmant	>asmantayon	OK		
NOM.MD.D.P0.E0	>asmant		OK		
NOM.MD.C.E0	>asmant		PROB		
NOM.MS.D.P0.E0	bA$A		OK		
NOM.MS.C.E0	bA$A		PROB		
NOM.MD.D.P0.E0	bA$A		OK		
NOM.MD.C.E0	bA$A		PROB		
NOM.MP.D.P0.E0	bA$A		OK		
NOM.MP.C.E0	bA$A		PROB		
NOM.MP.D.P0	>arD	Al>arADiy	PROB	wrong cond	
NOM.MP.D.P0	>arD	Al>arADiyayon	PROB	wrong cond	
NOM.MP.I	>arD	>arADiy	PROB	wrong cond	
NOM.MP.I	>arD	>arADiyayon	PROB	wrong cond	
NOM.MP.C	>arD	>arADiy	PROB	wrong cond	
NOM.MP.C	>arD	>arADiyayon	PROB	wrong cond	
NOM.MP.D.P0.E0	>arD		OK		
NOM.MP.C.E0	>arD		PROB		
NOM.FP.D.P0.E0	fiyl~A		OK		
NOM.FP.C.E0	fiyl~A		PROB		
NOM.MS.D.P0.E0	musta$faY		OK		
NOM.MS.C.E0	musta$faY		PROB		
NOM.MD.D.P0.E0	mustawaY		OK		
NOM.MD.C.E0	mustawaY		PROB		
NOM.MP.D.P0.E0	musta$faY		OK		
NOM.MP.C.E0	musta$faY		PROB		
NOM.FP.D.P0.E0	>ugniyap		OK		
NOM.FP.C.E0	>ugniyap		PROB		
NOM.FS.D.P0.E0	>um~ap		OK		
NOM.FS.C.E0	>um~ap		PROB		
NOM.FD.D.P0.E0	>um~ap		OK		
NOM.FD.C.E0	>um~ap		PROB		
NOM.FP.D.P0.E0	>um~		OK		
NOM.FP.C.E0	>um~		PROB		
NOM.MS.D.P0.E0	siy		OK		
NOM.MS.C.E0	siy		PROB		
NOM.MD.D.P0.E0	$iy		OK		
NOM.MD.C.E0	$iy		PROB		
NOM.MP.D.P0	$iy		OK		
NOM.MP.I	$iy		PROB		
NOM.MP.C	$iy		PROB		
NOM.MP.D.P0.E0	$iy		OK		
NOM.MP.C.E0	$iy		PROB		
NOM.MS.D.P0.E0	jiytAr		OK		
NOM.MS.C.E0	jiytAr		PROB		
NOM.MD.D.P0.E0	jiytAr		OK		
NOM.MD.C.E0	jiytAr		PROB		
NOM.MP.D.P0.E0	jiytAr		OK		
NOM.MP.C.E0	jiytAr		PROB		
NOM.MP.D.P0.E0	qatiyl		OK		
NOM.MP.C.E0	qatiyl		PROB		
NOM.MP.D.P0.E0	jar~AH		OK		
NOM.MP.C.E0	jar~AH		PROB		
NOM.FS.D.P0.E0	jar~AH		OK		
NOM.FS.C.E0	jar~AH		PROB		
NOM.FD.D.P0.E0	jar~AH		OK		
NOM.FD.C.E0	jar~AH		PROB		
NOM.FP.D.P0.E0	jar~AH		OK		
NOM.FP.C.E0	jar~AH		PROB		
NOM.FD.D.P0.E0	>um~		OK		
NOM.FD.C.E0	>um~		PROB		
NOM.MP.D.P0.E0	mabnaY		OK		
NOM.MP.C.E0	mabnaY		PROB		
NOM.MS.D.P0.E0	dilwaqtiy		OK		
NOM.MS.C.E0	dilwaqtiy		PROB		
NOM.MS.D.P0.E0	rA'		OK		
NOM.MS.C.E0	rA'		PROB		
NOM.MD.D.P0.E0	rA'		OK		
NOM.MD.C.E0	rA'		PROB		
NOM.MP.D.P0.E0	rA'		OK		
NOM.MP.C.E0	rA'		PROB		
NOM.FP.D.P0.E0	DaHiy~ap		OK		
NOM.FP.C.E0	DaHiy~ap		PROB		
NOM.MD.D.P0.E0	maTAfiy		OK		
NOM.MD.C.E0	maTAfiy		PROB		
NOM.MS.D.P0.E0	luwliy		OK		
NOM.MS.C.E0	luwliy		PROB		
NOM.MD.D.P0.E0	luwliy		OK		
NOM.MD.C.E0	luwliy		PROB		
NOM.MP.D.P0.E0	luwliy		OK		
NOM.MP.C.E0	luwliy		PROB		
NOM.FP.D.P0.E0	mun$a>ap		OK		
NOM.FP.C.E0	mun$a>ap		PROB		
NOM.FS.D.P0.E0	qanAp		OK		
NOM.FS.C.E0	qanAp		PROB		
NOM.FD.D.P0.E0	qanAp		OK		
NOM.FD.C.E0	qanAp		PROB		
NOM.FP.D.P0.E0	qanAp		OK		
NOM.FP.C.E0	qanAp		PROB		
NOM.FS.D.P0.E0	fawDaY		OK		
NOM.FS.C.E0	fawDaY		PROB		
NOM.FD.D.P0.E0	fawDaY		OK		
NOM.FD.C.E0	fawDaY		PROB		
NOM.FP.D.P0.E0	daEwaY		OK		
NOM.FP.C.E0	daEwaY		PROB		
NOM.FD.D.P0.E0	faHwaY		OK		
NOM.FD.C.E0	faHwaY		PROB		
NOM.MS.D.P0.E0	ladaY		OK		
NOM.MS.C.E0	ladaY		PROB		
NOM.MD.D.P0.E0	ladaY		OK		
NOM.MD.C.E0	ladaY		PROB		
NOM.FS.D.P0.E0	Sifap		OK		
NOM.FS.C.E0	Sifap		PROB		
NOM.FD.D.P0.E0	Sifap		OK		
NOM.FD.C.E0	Sifap		PROB		
NOM.FP.D.P0.E0	Sifap		OK		
NOM.FP.C.E0	Sifap		PROB		
NOM.MD.D.P0.E0	musta$faY		OK		
NOM.MD.C.E0	musta$faY		PROB		
NOM.MP.D.P0.E0	$ay'		OK		
NOM.MP.C.E0	$ay'		PROB		
NOM.MS.D.P0.E0	juz'		OK		
NOM.MS.C.E0	juz'		PROB		
NOM.MD.D.P0.E0	juz'		OK		
NOM.MD.C.E0	juz'		PROB		
NOM.MS.D.P0.E0	suw'		OK		
NOM.MS.C.E0	suw'		PROB		
NOM.MD.D.P0.E0	suw'		OK		
NOM.MD.C.E0	suw'		PROB		
NOM.MS.D.P0.E0	taqAwiy		OK		
NOM.MS.C.E0	taqAwiy		PROB		
NOM.MD.D.P0.E0	taqAwiy		OK		
NOM.MD.C.E0	taqAwiy		PROB		
NOM.MS.D.P0	>adAp	Al>adA	PROB	FIXED	
NOM.MS.I	>adAp	>adA	PROB	FIXED	
NOM.MS.C	>adAp	>adA	PROB	FIXED	
NOM.MS.D.P0.E0	>adAp		OK		
NOM.MS.C.E0	>adAp		PROB		
NOM.MD.D.P0	>adAp		OK		
NOM.MD.I	>adAp		PROB		
NOM.MD.C	>adAp		PROB		
NOM.MD.D.P0.E0	>adAp		OK		
NOM.MD.C.E0	>adAp		PROB		
NOM.MS.D.P0.E0	AiftirA		OK		
NOM.MS.C.E0	AiftirA		PROB		
NOM.MD.D.P0.E0	AiftirA		OK		
NOM.MD.C.E0	AiftirA		PROB		
NOM.MP.D.P0.E0	AiftirA		OK		
NOM.MP.C.E0	AiftirA		PROB		
NOM.MP.D.P0.E0	ban~A		OK		
NOM.MP.C.E0	ban~A		PROB		
NOM.FS.D.P0.E0	dawA		OK		
NOM.FS.C.E0	dawA		PROB		
NOM.MP.D.P0	EAlim	AlEulamA	OK		
NOM.MP.I	EAlim	EulamA	OK		
NOM.MP.C	EAlim	EulamA	OK		
NOM.MP.D.P0	taHliyl	Alt~aHAliyl	OK		
NOM.MP.D.P0	taHliyl	Alt~aHAliylayon	PROB		
NOM.MP.D.P0	taHliyl	Alt~aHAliylAt	PROB		
NOM.MP.I	taHliyl	taHAliyl	OK		
NOM.MP.I	taHliyl	taHAliylayon	PROB		
NOM.MP.I	taHliyl	taHAliylAt	PROB		
NOM.MP.C	taHliyl	taHAliyl	OK		
NOM.MP.C	taHliyl	taHAliylayon	PROB		
NOM.MP.C	taHliyl	taHAliylAt	PROB		
NOM.MP.D.P0.E0	taHliyl		OK		
NOM.MP.C.E0	taHliyl		PROB		
NOM.MP.D.P0	laHm	All~uHuwm	OK		
NOM.MP.I	laHm	luHuwm	OK		
NOM.MP.C	laHm	luHuwm	OK		
NOM.FP.D.P0	dawlap	Ald~iwal	OK		
NOM.FP.I	dawlap	diwal	OK		
NOM.FP.C	dawlap	diwal	OK		
NOM.FP.D.P0	xiT~ap	AlxiTaTap	PROB		
NOM.FP.D.P0	xiT~ap	AlxiTaTtayon	PROB		
NOM.FP.D.P0	xiT~ap	AlxiTaTAt	PROB		
NOM.FP.I	xiT~ap	xiTaTap	PROB		
NOM.FP.I	xiT~ap	xiTaTtayon	PROB		
NOM.FP.I	xiT~ap	xiTaTAt	PROB		
NOM.FP.C	xiT~ap	xiTaTip	PROB		
NOM.FP.C	xiT~ap	xiTaTtayon	PROB		
NOM.FP.C	xiT~ap	xiTaTAt	PROB		
NOM.FP.D.P0.E0	xiT~ap		PROB		
NOM.FP.C.E0	xiT~ap		PROB		
